Region,MonthDate,HPIndex
East Anglia,31/07/2012,322.9016
East Anglia,31/10/2012,325.4599
East Anglia,31/01/2013,329.0507
East Anglia,30/04/2013,338.4536
East Anglia,31/07/2013,344.16
East Anglia,31/10/2013,349.7072
East Anglia,31/01/2014,360.0104
East Anglia,30/04/2014,370.6952
East Anglia,31/07/2014,382.2145
East Anglia,31/10/2014,383.8933
East Anglia,31/01/2015,387.761
East Anglia,30/04/2015,390.4125
East Anglia,31/07/2015,391.4892
East Anglia,31/10/2015,392.2054
East Anglia,31/01/2016,409.6432
East Anglia,30/04/2016,412.5537
East Anglia,31/07/2016,420.1059
East Anglia,31/10/2016,431.4695
East Anglia,31/01/2017,432.5918
East Anglia,30/04/2017,434.0067
East Anglia,31/07/2017,436.4463
East Anglia,31/10/2017,441.1646
East Anglia,31/01/2018,442.9579
East Anglia,30/04/2018,445.1309
East Anglia,31/07/2018,449.4725
East Anglia,31/10/2018,449.7618
East Anglia,31/01/2019,450.3931
East Anglia,30/04/2019,451.9196
East Anglia,31/07/2019,456.9678
East Anglia,31/10/2019,450.3214
East Anglia,31/01/2020,456.1453
East Anglia,30/04/2020,455.2824
East Midlands,31/10/1973,19.0859
East Midlands,31/01/1974,19.6132
East Midlands,30/04/1974,19.7165
East Midlands,31/07/1974,19.641
East Midlands,31/10/1974,19.6551
East Midlands,31/01/1975,19.8701
East Midlands,30/04/1975,20.5222
East Midlands,31/07/1975,20.8475
East Midlands,31/10/1975,21.476
East Midlands,31/01/1976,21.8484
East Midlands,30/04/1976,22.037
East Midlands,31/07/1976,22.5001
East Midlands,31/10/1976,23.0534
East Midlands,31/01/1977,23.4275
East Midlands,30/04/1977,23.8562
East Midlands,31/07/1977,24.2551
East Midlands,31/10/1977,24.5499
East Midlands,31/01/1978,25.9335
East Midlands,30/04/1978,26.2562
East Midlands,31/07/1978,28.4489
East Midlands,31/10/1978,30.4122
East Midlands,31/01/1979,32.1014
East Midlands,30/04/1979,34.2829
East Midlands,31/07/1979,36.7109
East Midlands,31/10/1979,38.9003
East Midlands,31/01/1980,41.2802
East Midlands,30/04/1980,42.5493
East Midlands,31/07/1980,43.6047
East Midlands,31/10/1980,44.0393
East Midlands,31/01/1981,45.4503
East Midlands,30/04/1981,44.6884
East Midlands,31/07/1981,46.3303
East Midlands,31/10/1981,46.119
East Midlands,31/01/1982,45.7205
East Midlands,30/04/1982,46.2587
East Midlands,31/07/1982,46.4867
East Midlands,31/10/1982,48.2186
East Midlands,31/01/1983,49.9622
East Midlands,30/04/1983,51.4937
East Midlands,31/07/1983,52.6208
East Midlands,31/10/1983,53.7809
East Midlands,31/01/1984,55.0937
East Midlands,30/04/1984,56.9235
East Midlands,31/07/1984,57.9695
East Midlands,31/10/1984,60.6619
East Midlands,31/01/1985,62.6303
East Midlands,30/04/1985,63.0881
East Midlands,31/07/1985,64.2769
East Midlands,31/10/1985,65.1824
East Midlands,31/01/1986,67.2623
East Midlands,30/04/1986,68.761
East Midlands,31/07/1986,70.5472
East Midlands,31/10/1986,73.3097
East Midlands,31/01/1987,76.5467
East Midlands,30/04/1987,78.4991
East Midlands,31/07/1987,78.8863
East Midlands,31/10/1987,80.3173
East Midlands,31/01/1988,83.1737
East Midlands,30/04/1988,92.6841
East Midlands,31/07/1988,108.4492
East Midlands,31/10/1988,120.7237
East Midlands,31/01/1989,128.5768
East Midlands,30/04/1989,130.1726
East Midlands,31/07/1989,126.8509
East Midlands,31/10/1989,133.8859
East Midlands,31/01/1990,129.8121
East Midlands,30/04/1990,125.5745
East Midlands,31/07/1990,121.0442
East Midlands,31/10/1990,115.9676
East Midlands,31/01/1991,115.3562
East Midlands,30/04/1991,115.6594
East Midlands,31/07/1991,114.1244
East Midlands,31/10/1991,112.2328
East Midlands,31/01/1992,110.467
East Midlands,30/04/1992,108.6605
East Midlands,31/07/1992,108.3642
East Midlands,31/10/1992,103.1333
East Midlands,31/01/1993,101.1379
East Midlands,30/04/1993,105.2998
East Midlands,31/07/1993,104.2975
East Midlands,31/10/1993,105.6915
East Midlands,31/01/1994,105.9266
East Midlands,30/04/1994,104.9694
East Midlands,31/07/1994,104.1218
East Midlands,31/10/1994,106.2487
East Midlands,31/01/1995,104.7529
East Midlands,30/04/1995,102.9449
East Midlands,31/07/1995,104.6249
East Midlands,31/10/1995,103.846
East Midlands,31/01/1996,104.5639
East Midlands,30/04/1996,106.6271
East Midlands,31/07/1996,107.2235
East Midlands,31/10/1996,111.9577
East Midlands,31/01/1997,112.7238
East Midlands,30/04/1997,111.4805
East Midlands,31/07/1997,120.3761
East Midlands,31/10/1997,119.7213
East Midlands,31/01/1998,121.5848
East Midlands,30/04/1998,123.3911
East Midlands,31/07/1998,124.7156
East Midlands,31/10/1998,124.8955
East Midlands,31/01/1999,128.4787
East Midlands,30/04/1999,131.4957
East Midlands,31/07/1999,134.7238
East Midlands,31/10/1999,137.6015
East Midlands,31/01/2000,143.3239
East Midlands,30/04/2000,146.5699
East Midlands,31/07/2000,148.3377
East Midlands,31/10/2000,152.7214
East Midlands,31/01/2001,156.9399
East Midlands,30/04/2001,160.1503
East Midlands,31/07/2001,167.1834
East Midlands,31/10/2001,175.6283
East Midlands,31/01/2002,182.8633
East Midlands,30/04/2002,196.7035
East Midlands,31/07/2002,214.0289
East Midlands,31/10/2002,224.0036
East Midlands,31/01/2003,239.8399
East Midlands,30/04/2003,252.2972
East Midlands,31/07/2003,258.5366
East Midlands,31/10/2003,273.7529
East Midlands,31/01/2004,286.1985
East Midlands,30/04/2004,301.3472
East Midlands,31/07/2004,310.1493
East Midlands,31/10/2004,314.921
East Midlands,31/01/2005,315.3339
East Midlands,30/04/2005,314.661
East Midlands,31/07/2005,316.9609
East Midlands,31/10/2005,314.9214
East Midlands,31/01/2006,319.7319
East Midlands,30/04/2006,321.327
East Midlands,31/07/2006,327.9075
East Midlands,31/10/2006,334.5967
East Midlands,31/01/2007,338.9645
East Midlands,30/04/2007,343.5888
East Midlands,31/07/2007,343.4
East Midlands,31/10/2007,343.907
East Midlands,31/01/2008,340.0751
East Midlands,30/04/2008,323.6111
East Midlands,31/07/2008,309.9343
East Midlands,31/10/2008,294.9769
East Midlands,31/01/2009,281.4337
East Midlands,30/04/2009,286.5425
East Midlands,31/07/2009,293.4624
East Midlands,31/10/2009,302.462
East Midlands,31/01/2010,308.7335
East Midlands,30/04/2010,311.7274
East Midlands,31/07/2010,310.7445
